2022-03-03 15:19:44,360 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-03 15:19:44,972 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-03 15:19:45,006 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-03 15:19:46,500 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-03 15:19:46,538 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-03 15:19:46,568 - movie_logger - INFO - iframe 전환
2022-03-03 15:19:53,516 - movie_logger - INFO - 89,
2022-03-03 15:19:53,562 - movie_logger - INFO - 90,
2022-03-03 15:19:53,747 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:53,844 - movie_logger - INFO - 91,
2022-03-03 15:19:53,884 - movie_logger - INFO - 92,
2022-03-03 15:19:53,923 - movie_logger - INFO - 93,
2022-03-03 15:19:53,963 - movie_logger - INFO - 94,
2022-03-03 15:19:54,015 - movie_logger - INFO - 95,
2022-03-03 15:19:54,151 - movie_logger - INFO - 96,
2022-03-03 15:19:54,224 - movie_logger - INFO - 97,
2022-03-03 15:19:54,265 - movie_logger - INFO - 98,
2022-03-03 15:19:54,303 - movie_logger - INFO - 99,
2022-03-03 15:19:54,345 - movie_logger - INFO - 100,
2022-03-03 15:19:54,534 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:54,623 - movie_logger - INFO - 101,
2022-03-03 15:19:54,662 - movie_logger - INFO - 102,
2022-03-03 15:19:54,704 - movie_logger - INFO - 103,
2022-03-03 15:19:54,746 - movie_logger - INFO - 104,
2022-03-03 15:19:54,788 - movie_logger - INFO - 105,
2022-03-03 15:19:54,828 - movie_logger - INFO - 106,
2022-03-03 15:19:54,876 - movie_logger - INFO - 107,
2022-03-03 15:19:54,916 - movie_logger - INFO - 108,
2022-03-03 15:19:54,956 - movie_logger - INFO - 109,
2022-03-03 15:19:54,996 - movie_logger - INFO - 110,
2022-03-03 15:19:55,180 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:55,298 - movie_logger - INFO - 111,
2022-03-03 15:19:55,340 - movie_logger - INFO - 112,
2022-03-03 15:19:55,386 - movie_logger - INFO - 113,
2022-03-03 15:19:55,427 - movie_logger - INFO - 114,
2022-03-03 15:19:55,468 - movie_logger - INFO - 115,
2022-03-03 15:19:55,507 - movie_logger - INFO - 116,
2022-03-03 15:19:55,554 - movie_logger - INFO - 117,
2022-03-03 15:19:55,594 - movie_logger - INFO - 118,
2022-03-03 15:19:55,635 - movie_logger - INFO - 119,
2022-03-03 15:19:55,677 - movie_logger - INFO - 120,
2022-03-03 15:19:55,860 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:55,932 - movie_logger - INFO - 121,
2022-03-03 15:19:55,973 - movie_logger - INFO - 122,
2022-03-03 15:19:56,013 - movie_logger - INFO - 123,
2022-03-03 15:19:56,053 - movie_logger - INFO - 124,
2022-03-03 15:19:56,093 - movie_logger - INFO - 125,
2022-03-03 15:19:56,133 - movie_logger - INFO - 126,
2022-03-03 15:19:56,180 - movie_logger - INFO - 127,
2022-03-03 15:19:56,234 - movie_logger - INFO - 128,
2022-03-03 15:19:56,282 - movie_logger - INFO - 129,
2022-03-03 15:19:56,322 - movie_logger - INFO - 130,
2022-03-03 15:19:56,499 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:56,580 - movie_logger - INFO - 131,
2022-03-03 15:19:56,618 - movie_logger - INFO - 132,
2022-03-03 15:19:56,660 - movie_logger - INFO - 133,
2022-03-03 15:19:56,699 - movie_logger - INFO - 134,
2022-03-03 15:19:56,743 - movie_logger - INFO - 135,
2022-03-03 15:19:56,782 - movie_logger - INFO - 136,
2022-03-03 15:19:56,826 - movie_logger - INFO - 137,
2022-03-03 15:19:56,867 - movie_logger - INFO - 138,
2022-03-03 15:19:56,907 - movie_logger - INFO - 139,
2022-03-03 15:19:56,949 - movie_logger - INFO - 140,
2022-03-03 15:19:57,123 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:57,202 - movie_logger - INFO - 141,
2022-03-03 15:19:57,257 - movie_logger - INFO - 142,
2022-03-03 15:19:57,307 - movie_logger - INFO - 143,
2022-03-03 15:19:57,346 - movie_logger - INFO - 144,
2022-03-03 15:19:57,388 - movie_logger - INFO - 145,
2022-03-03 15:19:57,430 - movie_logger - INFO - 146,
2022-03-03 15:19:57,470 - movie_logger - INFO - 147,
2022-03-03 15:19:57,512 - movie_logger - INFO - 148,
2022-03-03 15:19:57,550 - movie_logger - INFO - 149,
2022-03-03 15:19:57,589 - movie_logger - INFO - 150,
2022-03-03 15:19:57,757 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:57,833 - movie_logger - INFO - 151,
2022-03-03 15:19:57,873 - movie_logger - INFO - 152,
2022-03-03 15:19:57,915 - movie_logger - INFO - 153,
2022-03-03 15:19:57,953 - movie_logger - INFO - 154,
2022-03-03 15:19:57,992 - movie_logger - INFO - 155,
2022-03-03 15:19:58,030 - movie_logger - INFO - 156,
2022-03-03 15:19:58,074 - movie_logger - INFO - 157,
2022-03-03 15:19:58,114 - movie_logger - INFO - 158,
2022-03-03 15:19:58,154 - movie_logger - INFO - 159,
2022-03-03 15:19:58,194 - movie_logger - INFO - 160,
2022-03-03 15:19:58,381 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:58,488 - movie_logger - INFO - 161,
2022-03-03 15:19:58,525 - movie_logger - INFO - 162,
2022-03-03 15:19:58,568 - movie_logger - INFO - 163,
2022-03-03 15:19:58,609 - movie_logger - INFO - 164,
2022-03-03 15:19:58,649 - movie_logger - INFO - 165,
2022-03-03 15:19:58,691 - movie_logger - INFO - 166,
2022-03-03 15:19:58,737 - movie_logger - INFO - 167,
2022-03-03 15:19:58,778 - movie_logger - INFO - 168,
2022-03-03 15:19:58,820 - movie_logger - INFO - 169,
2022-03-03 15:19:58,857 - movie_logger - INFO - 170,
2022-03-03 15:19:59,031 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:59,122 - movie_logger - INFO - 171,
2022-03-03 15:19:59,162 - movie_logger - INFO - 172,
2022-03-03 15:19:59,202 - movie_logger - INFO - 173,
2022-03-03 15:19:59,256 - movie_logger - INFO - 174,
2022-03-03 15:19:59,305 - movie_logger - INFO - 175,
2022-03-03 15:19:59,350 - movie_logger - INFO - 176,
2022-03-03 15:19:59,391 - movie_logger - INFO - 177,
2022-03-03 15:19:59,434 - movie_logger - INFO - 178,
2022-03-03 15:19:59,475 - movie_logger - INFO - 179,
2022-03-03 15:19:59,515 - movie_logger - INFO - 180,
2022-03-03 15:19:59,667 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:59,718 - movie_logger - INFO - 181,
2022-03-03 15:19:59,757 - movie_logger - INFO - 182,
2022-03-03 15:19:59,826 - movie_logger - INFO - 183,
2022-03-03 15:19:59,914 - movie_logger - INFO - 184,
2022-03-03 15:19:59,953 - movie_logger - INFO - 185,
2022-03-03 15:19:59,996 - movie_logger - INFO - 186,
2022-03-03 15:20:00,043 - movie_logger - INFO - 187,
2022-03-03 15:20:00,085 - movie_logger - INFO - 188,
2022-03-03 15:20:00,123 - movie_logger - INFO - 189,
2022-03-03 15:20:00,164 - movie_logger - INFO - 190,
2022-03-03 15:20:00,331 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:00,379 - movie_logger - INFO - 191,
2022-03-03 15:20:00,447 - movie_logger - INFO - 192,
2022-03-03 15:20:00,525 - movie_logger - INFO - 193,
2022-03-03 15:20:00,565 - movie_logger - INFO - 194,
2022-03-03 15:20:00,607 - movie_logger - INFO - 195,
2022-03-03 15:20:00,646 - movie_logger - INFO - 196,
2022-03-03 15:20:00,685 - movie_logger - INFO - 197,
2022-03-03 15:20:00,725 - movie_logger - INFO - 198,
2022-03-03 15:20:00,767 - movie_logger - INFO - 199,
2022-03-03 15:20:00,805 - movie_logger - INFO - 200,
2022-03-03 15:20:00,960 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:01,014 - movie_logger - INFO - 201,
2022-03-03 15:20:01,096 - movie_logger - INFO - 202,
2022-03-03 15:20:01,156 - movie_logger - INFO - 203,
2022-03-03 15:20:01,193 - movie_logger - INFO - 204,
2022-03-03 15:20:01,234 - movie_logger - INFO - 205,
2022-03-03 15:20:01,288 - movie_logger - INFO - 206,
2022-03-03 15:20:01,341 - movie_logger - INFO - 207,
2022-03-03 15:20:01,381 - movie_logger - INFO - 208,
2022-03-03 15:20:01,420 - movie_logger - INFO - 209,
2022-03-03 15:20:01,461 - movie_logger - INFO - 210,
2022-03-03 15:20:01,615 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:01,696 - movie_logger - INFO - 211,
2022-03-03 15:20:01,777 - movie_logger - INFO - 212,
2022-03-03 15:20:01,815 - movie_logger - INFO - 213,
2022-03-03 15:20:01,855 - movie_logger - INFO - 214,
2022-03-03 15:20:01,891 - movie_logger - INFO - 215,
2022-03-03 15:20:01,941 - movie_logger - INFO - 216,
2022-03-03 15:20:01,989 - movie_logger - INFO - 217,
2022-03-03 15:20:02,025 - movie_logger - INFO - 218,
2022-03-03 15:20:02,067 - movie_logger - INFO - 219,
2022-03-03 15:20:02,106 - movie_logger - INFO - 220,
2022-03-03 15:20:02,263 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:02,356 - movie_logger - INFO - 221,
2022-03-03 15:20:02,418 - movie_logger - INFO - 222,
2022-03-03 15:20:02,497 - movie_logger - INFO - 223,
2022-03-03 15:20:02,536 - movie_logger - INFO - 224,
2022-03-03 15:20:02,587 - movie_logger - INFO - 225,
2022-03-03 15:20:02,644 - movie_logger - INFO - 226,
2022-03-03 15:20:02,685 - movie_logger - INFO - 227,
2022-03-03 15:20:02,724 - movie_logger - INFO - 228,
2022-03-03 15:20:02,767 - movie_logger - INFO - 229,
2022-03-03 15:20:02,807 - movie_logger - INFO - 230,
2022-03-03 15:20:02,959 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:20:03,038 - movie_logger - INFO - 231,
2022-03-03 15:20:03,167 - movie_logger - INFO - 232,
2022-03-03 15:20:03,205 - movie_logger - INFO - 233,
2022-03-03 15:20:03,246 - movie_logger - INFO - 234,
