2022-03-07 17:03:53,405 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:03:53,947 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-07 17:03:53,985 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-07 17:03:55,510 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:03:55,552 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:03:55,578 - movie_logger - INFO - iframe 전환
2022-03-07 17:05:37,003 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:05:37,567 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:05:37,603 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:05:39,025 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:05:39,061 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:05:39,090 - movie_logger - INFO - iframe 전환
2022-03-07 17:08:43,349 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:08:43,887 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:08:43,948 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:08:45,343 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:08:45,390 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:08:45,420 - movie_logger - INFO - iframe 전환
2022-03-07 17:12:51,020 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:12:51,631 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:12:51,670 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:12:53,059 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:12:53,096 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:12:53,127 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:40,023 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:23:40,574 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:23:40,608 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:23:41,920 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:23:41,959 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:23:41,988 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:45,730 - movie_logger - INFO - 60,
2022-03-07 17:23:45,979 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:46,060 - movie_logger - INFO - 61,
2022-03-07 17:23:46,101 - movie_logger - INFO - 62,
2022-03-07 17:23:46,142 - movie_logger - INFO - 63,
2022-03-07 17:23:46,184 - movie_logger - INFO - 64,
2022-03-07 17:23:46,227 - movie_logger - INFO - 65,
2022-03-07 17:23:46,269 - movie_logger - INFO - 66,
2022-03-07 17:23:46,311 - movie_logger - INFO - 67,
2022-03-07 17:23:46,353 - movie_logger - INFO - 68,
2022-03-07 17:23:46,397 - movie_logger - INFO - 69,
2022-03-07 17:23:46,439 - movie_logger - INFO - 70,
2022-03-07 17:23:46,605 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:46,666 - movie_logger - INFO - 71,
2022-03-07 17:23:46,709 - movie_logger - INFO - 72,
2022-03-07 17:23:46,751 - movie_logger - INFO - 73,
2022-03-07 17:23:46,796 - movie_logger - INFO - 74,
2022-03-07 17:23:46,846 - movie_logger - INFO - 75,
2022-03-07 17:23:46,890 - movie_logger - INFO - 76,
2022-03-07 17:23:46,933 - movie_logger - INFO - 77,
2022-03-07 17:23:46,977 - movie_logger - INFO - 78,
2022-03-07 17:23:47,022 - movie_logger - INFO - 79,
2022-03-07 17:23:47,064 - movie_logger - INFO - 80,
2022-03-07 17:23:47,230 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:47,302 - movie_logger - INFO - 81,
2022-03-07 17:23:47,370 - movie_logger - INFO - 82,
2022-03-07 17:23:47,423 - movie_logger - INFO - 83,
2022-03-07 17:23:47,474 - movie_logger - INFO - 84,
2022-03-07 17:23:47,527 - movie_logger - INFO - 85,
2022-03-07 17:23:47,579 - movie_logger - INFO - 86,
2022-03-07 17:23:47,629 - movie_logger - INFO - 87,
2022-03-07 17:23:47,684 - movie_logger - INFO - 88,
2022-03-07 17:23:47,731 - movie_logger - INFO - 89,
2022-03-07 17:23:47,782 - movie_logger - INFO - 90,
2022-03-07 17:23:47,957 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:48,016 - movie_logger - INFO - 91,
2022-03-07 17:23:48,067 - movie_logger - INFO - 92,
2022-03-07 17:23:48,125 - movie_logger - INFO - 93,
2022-03-07 17:23:48,176 - movie_logger - INFO - 94,
2022-03-07 17:23:48,228 - movie_logger - INFO - 95,
2022-03-07 17:23:48,277 - movie_logger - INFO - 96,
2022-03-07 17:23:48,333 - movie_logger - INFO - 97,
2022-03-07 17:23:48,380 - movie_logger - INFO - 98,
2022-03-07 17:23:48,446 - movie_logger - INFO - 99,
2022-03-07 17:23:48,494 - movie_logger - INFO - 100,
2022-03-07 17:23:48,672 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:48,732 - movie_logger - INFO - 101,
2022-03-07 17:23:48,780 - movie_logger - INFO - 102,
2022-03-07 17:23:48,831 - movie_logger - INFO - 103,
2022-03-07 17:23:48,879 - movie_logger - INFO - 104,
2022-03-07 17:23:48,932 - movie_logger - INFO - 105,
2022-03-07 17:23:48,979 - movie_logger - INFO - 106,
2022-03-07 17:23:49,027 - movie_logger - INFO - 107,
2022-03-07 17:23:49,072 - movie_logger - INFO - 108,
2022-03-07 17:23:49,118 - movie_logger - INFO - 109,
2022-03-07 17:23:49,164 - movie_logger - INFO - 110,
2022-03-07 17:23:49,334 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:49,428 - movie_logger - INFO - 111,
2022-03-07 17:23:49,479 - movie_logger - INFO - 112,
2022-03-07 17:23:49,534 - movie_logger - INFO - 113,
2022-03-07 17:23:49,586 - movie_logger - INFO - 114,
2022-03-07 17:23:49,638 - movie_logger - INFO - 115,
2022-03-07 17:23:49,686 - movie_logger - INFO - 116,
2022-03-07 17:23:49,743 - movie_logger - INFO - 117,
2022-03-07 17:23:49,793 - movie_logger - INFO - 118,
2022-03-07 17:23:49,852 - movie_logger - INFO - 119,
2022-03-07 17:23:49,909 - movie_logger - INFO - 120,
2022-03-07 17:23:50,117 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:50,200 - movie_logger - INFO - 121,
2022-03-07 17:23:50,266 - movie_logger - INFO - 122,
2022-03-07 17:23:50,325 - movie_logger - INFO - 123,
2022-03-07 17:23:50,378 - movie_logger - INFO - 124,
2022-03-07 17:23:50,437 - movie_logger - INFO - 125,
2022-03-07 17:23:50,492 - movie_logger - INFO - 126,
2022-03-07 17:23:50,552 - movie_logger - INFO - 127,
2022-03-07 17:23:50,608 - movie_logger - INFO - 128,
2022-03-07 17:23:50,665 - movie_logger - INFO - 129,
2022-03-07 17:23:50,720 - movie_logger - INFO - 130,
2022-03-07 17:23:50,871 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:50,942 - movie_logger - INFO - 131,
2022-03-07 17:23:51,001 - movie_logger - INFO - 132,
2022-03-07 17:23:51,054 - movie_logger - INFO - 133,
2022-03-07 17:23:51,102 - movie_logger - INFO - 134,
2022-03-07 17:23:51,155 - movie_logger - INFO - 135,
2022-03-07 17:23:51,204 - movie_logger - INFO - 136,
2022-03-07 17:23:51,257 - movie_logger - INFO - 137,
2022-03-07 17:23:51,312 - movie_logger - INFO - 138,
2022-03-07 17:23:51,362 - movie_logger - INFO - 139,
2022-03-07 17:23:51,413 - movie_logger - INFO - 140,
2022-03-07 17:23:51,618 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:51,684 - movie_logger - INFO - 141,
2022-03-07 17:23:51,740 - movie_logger - INFO - 142,
2022-03-07 17:23:51,799 - movie_logger - INFO - 143,
2022-03-07 17:23:51,854 - movie_logger - INFO - 144,
2022-03-07 17:23:51,915 - movie_logger - INFO - 145,
2022-03-07 17:23:51,972 - movie_logger - INFO - 146,
2022-03-07 17:23:52,028 - movie_logger - INFO - 147,
2022-03-07 17:23:52,084 - movie_logger - INFO - 148,
2022-03-07 17:23:52,143 - movie_logger - INFO - 149,
2022-03-07 17:23:52,199 - movie_logger - INFO - 150,
2022-03-07 17:23:52,381 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:52,457 - movie_logger - INFO - 151,
2022-03-07 17:23:52,518 - movie_logger - INFO - 152,
2022-03-07 17:23:52,573 - movie_logger - INFO - 153,
2022-03-07 17:23:52,628 - movie_logger - INFO - 154,
2022-03-07 17:23:52,684 - movie_logger - INFO - 155,
2022-03-07 17:23:52,738 - movie_logger - INFO - 156,
2022-03-07 17:23:52,798 - movie_logger - INFO - 157,
2022-03-07 17:23:52,851 - movie_logger - INFO - 158,
2022-03-07 17:23:52,928 - movie_logger - INFO - 159,
2022-03-07 17:23:52,989 - movie_logger - INFO - 160,
2022-03-07 17:23:53,168 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:53,239 - movie_logger - INFO - 161,
2022-03-07 17:23:53,298 - movie_logger - INFO - 162,
2022-03-07 17:23:53,350 - movie_logger - INFO - 163,
2022-03-07 17:23:53,402 - movie_logger - INFO - 164,
2022-03-07 17:23:53,455 - movie_logger - INFO - 165,
2022-03-07 17:23:53,514 - movie_logger - INFO - 166,
2022-03-07 17:23:53,578 - movie_logger - INFO - 167,
2022-03-07 17:23:53,635 - movie_logger - INFO - 168,
2022-03-07 17:23:53,703 - movie_logger - INFO - 169,
2022-03-07 17:23:53,762 - movie_logger - INFO - 170,
2022-03-07 17:23:53,949 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:54,021 - movie_logger - INFO - 171,
2022-03-07 17:23:54,113 - movie_logger - INFO - 172,
2022-03-07 17:23:54,175 - movie_logger - INFO - 173,
2022-03-07 17:23:54,238 - movie_logger - INFO - 174,
2022-03-07 17:23:54,293 - movie_logger - INFO - 175,
2022-03-07 17:23:54,359 - movie_logger - INFO - 176,
2022-03-07 17:23:54,428 - movie_logger - INFO - 177,
2022-03-07 17:23:54,488 - movie_logger - INFO - 178,
2022-03-07 17:23:54,549 - movie_logger - INFO - 179,
2022-03-07 17:23:54,617 - movie_logger - INFO - 180,
2022-03-07 17:23:54,775 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:54,868 - movie_logger - INFO - 181,
